Rk,Player,Nation,Pos,Squad,Age,Born,MP_playingtime,Starts_playingtime,Min_playingtime,Gls_performance,Ast_performance,PK_performance,PKatt_performance,CrdY_performance,CrdR_performance,Gls_per90min,Ast_per90min,G_plus_A_per90min,G_minus_PK_per90min,G_plus_A_minus_PK_per90min,xG_expected,npxG_expected,xA_expected,xG_per90min,xA_per90min,xG_plus_xA_per90min,npxG_per90min,npxG_plus_xA_per90min
191,Benny Feilhaber\Benny-Feilhaber,us USA,MF,Los Angeles FC,33,1985,34,32,2796,3,2,0,0,5,0,0.1,0.06,0.16,0.1,0.16,1.6,1.6,4.6,0.05,0.15,0.2,0.05,0.2
192,Felipe\Felipe,br BRA,MF,Vancouver,27,1990,29,24,2204,1,2,0,0,4,0,0.04,0.08,0.12,0.04,0.12,1.4,1.4,3.7,0.06,0.15,0.21,0.06,0.21
193,Luis Felipe\Luis-Felipe,br BRA,MF,San Jose,22,1996,13,11,974,0,1,0,0,4,0,0,0.09,0.09,0,0.09,0.3,0.3,0.3,0.03,0.03,0.05,0.03,0.05
194,Rolf Feltscher\Rolf-Feltscher,ve VEN,DF,LA Galaxy,27,1990,15,15,1293,1,3,0,0,6,0,0.07,0.21,0.28,0.07,0.28,0.2,0.2,1.5,0.01,0.11,0.12,0.01,0.12
195,Gerso Fernandes\Gerso-Fernandes,gw GNB,FW,Sporting KC,26,1991,31,17,1598,5,4,0,0,1,0,0.28,0.23,0.51,0.28,0.51,5.5,5.5,4,0.31,0.22,0.53,0.31,0.53
196,Luiz Fernando\Luiz-Fernando,br BRA,MF,Minnesota,22,1995,11,6,577,0,0,0,0,7,1,0,0,0,0,0,0.1,0.1,0.1,0.02,0.02,0.04,0.02,0.04
197,Jesus Ferreira\Jesus-Ferreira,us USA,FW,FC Dallas,17,2000,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0,6.15,0,6.15,6.15,6.15
198,Maynor Figueroa\Maynor-Figueroa,hn HON,DF,FC Dallas,34,1983,16,11,1010,1,0,0,0,2,0,0.09,0,0.09,0.09,0.09,0.6,0.6,0.2,0.06,0.01,0.07,0.06,0.07
199,Ethan Finlay\Ethan-Finlay,us USA,FW,Minnesota,27,1990,7,7,569,2,1,0,0,0,0,0.32,0.16,0.47,0.32,0.47,2,2,1,0.32,0.16,0.48,0.32,0.48
200,Oniel Fisher\Oniel-Fisher,jm JAM,DF,D.C. United,26,1991,24,20,1832,1,1,0,0,3,0,0.05,0.05,0.1,0.05,0.1,1.1,1.1,1.4,0.05,0.07,0.12,0.05,0.12
201,Andrés Flores\Andres-Flores,sv SLV,MF,Portland,27,1990,26,11,1171,1,2,0,0,1,0,0.08,0.15,0.23,0.08,0.23,1.7,1.7,1.4,0.13,0.11,0.24,0.13,0.24
202,Anthony Fontana\Anthony-Fontana,us USA,MF,Philadelphia,18,1999,5,1,102,1,0,0,0,0,0,0.88,0,0.88,0.88,0.88,0.8,0.8,0.3,0.69,0.26,0.95,0.69,0.95
203,Andreu Fontàs\Andreu-Fontas,es ESP,DF,Sporting KC,28,1989,2,1,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,Kortne Ford\Kortne-Ford,us USA,DF,Colorado,22,1996,15,14,1138,0,0,0,0,7,0,0,0,0,0,0,0.3,0.3,0.1,0.02,0.01,0.03,0.02,0.03
205,Waylon Francis\Waylon-Francis,cr CRC,DFFW,Seattle,27,1990,11,5,585,0,0,0,0,1,0,0,0,0,0,0,0,0,1.1,0.01,0.17,0.18,0.01,0.18
206,Sean Franklin\Sean-Franklin,us USA,DF,Vancouver,32,1985,11,9,833,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0.1,0.1,0,0.1
207,Liam Fraser\Liam-Fraser,ca CAN,MFFW,Toronto FC,19,1998,10,7,614,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.02,0.01,0.03,0.02,0.03
208,Stefan Frei\Stefan-Frei,ch SUI,GK,Seattle,31,1986,33,33,2970,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,Alejandro Fuenmayor\Alejandro-Fuenmayor,ve VEN,DF,Houston,21,1996,22,21,1762,3,1,0,0,7,1,0.15,0.05,0.2,0.15,0.2,1.1,1.1,0.3,0.06,0.01,0.07,0.06,0.07
210,Gilbert Fuentes\Gilbert-Fuentes,us USA,MF,San Jose,15,2002,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
211,Omar Gaber\Omar-Gaber,eg EGY,FWDF,Los Angeles FC,26,1992,7,2,258,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.3,0.09,0.18,0.28,0.09,0.28
212,Ray Gaddis\Ray-Gaddis,us USA,DF,Philadelphia,28,1990,28,25,2299,0,1,0,0,1,0,0,0.04,0.04,0,0.04,0.7,0.7,0.6,0.03,0.02,0.05,0.03,0.05
213,Boniek García\Boniek-Garcia,hn HON,MF,Houston,33,1984,29,21,2064,1,6,0,0,7,0,0.04,0.26,0.31,0.04,0.31,0.2,0.2,5.1,0.01,0.22,0.23,0.01,0.23
214,Kevin Garcia\Kevin-Garcia,us USA,DF,Houston,27,1990,15,11,1103,1,0,0,0,0,0,0.08,0,0.08,0.08,0.08,0.2,0.2,0.4,0.01,0.03,0.05,0.01,0.05
215,Greg Garza\Greg-Garza,us USA,DFMF,Atlanta,26,1991,11,10,926,1,1,0,0,2,1,0.1,0.1,0.19,0.1,0.19,0.7,0.7,1,0.07,0.1,0.17,0.07,0.17
216,Shkëlzen Gashi\Shkelzen-Gashi,al ALB,FWMF,Colorado,29,1988,21,9,818,2,2,1,1,3,0,0.22,0.22,0.44,0.11,0.33,3.3,2.6,1.9,0.37,0.2,0.57,0.28,0.49
217,Ali Ghazal\Ali-Ghazal,eg EGY,MFDF,Vancouver,25,1992,22,17,1444,0,0,0,0,2,0,0,0,0,0,0,0.7,0.7,0.1,0.04,0.01,0.05,0.04,0.05
218,Luis Gil\Luis-Gil,us USA,MFFW,Houston,24,1993,12,3,279,0,0,0,0,1,0,0,0,0,0,0,0.6,0.6,0.1,0.2,0.02,0.22,0.2,0.22
219,Sebastian Giovinco\Sebastian-Giovinco,it ITA,FW,Toronto FC,31,1987,28,26,2385,13,7,1,4,5,1,0.49,0.26,0.75,0.45,0.72,15.1,12.1,7.3,0.57,0.27,0.84,0.45,0.73
220,Justen Glad\Justen-Glad,us USA,DF,Real Salt Lake,20,1997,33,33,2909,0,0,0,0,6,0,0,0,0,0,0,0.9,0.9,0.4,0.03,0.01,0.04,0.03,0.04
221,Jake Gleeson\Jake-Gleeson,nz NZL,GK,Portland,27,1990,6,6,540,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
222,Aníbal Godoy\Anibal-Godoy,pa PAN,MF,San Jose,27,1990,27,27,2344,0,1,0,0,8,0,0,0.04,0.04,0,0.04,0.7,0.7,0.8,0.03,0.03,0.06,0.03,0.06
223,Alexi Gómez\Alexi-Gomez,pe PER,FWMF,Minnesota,24,1993,18,16,1316,0,0,0,0,4,0,0,0,0,0,0,0.9,0.9,0.6,0.06,0.04,0.1,0.06,0.1
224,Leandro González Pirez\Leandro-Gonzalez-Pirez,ar ARG,DF,Atlanta,25,1992,32,32,2772,1,1,0,0,9,1,0.03,0.03,0.06,0.03,0.06,2,2,0.9,0.06,0.03,0.09,0.06,0.09
225,Jesse Gonzalez\Jesse-Gonzalez,mx MEX,GK,FC Dallas,22,1995,21,21,1890,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,Alan Gordon\Alan-Gordon,us USA,FW,Chicago,36,1981,23,7,835,4,0,0,0,2,0,0.43,0,0.43,0.43,0.43,2.5,2.5,0.1,0.27,0.01,0.28,0.27,0.28
227,Mike Grella\Mike-Grella,us USA,FW,Columbus,31,1987,12,5,483,1,1,0,0,1,0,0.19,0.19,0.37,0.19,0.37,0.8,0.8,1.2,0.15,0.23,0.38,0.15,0.38
228,Julian Gressel\Julian-Gressel,de GER,MFDF,Atlanta,24,1993,33,33,2942,4,12,0,0,3,0,0.12,0.37,0.49,0.12,0.49,4.4,4.4,7.9,0.14,0.24,0.38,0.14,0.38
229,Adam Grinwis\Adam-Grinwis,us USA,GK,Orlando City,25,1992,5,5,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,Carlos Gruezo\Carlos-Gruezo,ec ECU,MF,FC Dallas,22,1995,31,28,2509,2,1,0,0,8,0,0.07,0.04,0.11,0.07,0.11,2.8,2.8,0.9,0.1,0.03,0.14,0.1,0.14
231,Felipe Gutiérrez\Felipe-Gutierrez,cl CHI,MF,Sporting KC,27,1990,20,18,1517,7,1,0,0,3,0,0.42,0.06,0.47,0.42,0.47,3.2,3.2,1.6,0.2,0.1,0.3,0.2,0.3
232,Brad Guzan\Brad-Guzan,us USA,GK,Atlanta,33,1984,33,33,2913,0,0,0,0,3,1,0,0,0,0,0,0,0,0.1,0,0,0,0,0
233,David Guzmán\David-Guzman,cr CRC,MF,Portland,27,1990,14,11,968,3,0,0,0,5,0,0.28,0,0.28,0.28,0.28,1.2,1.2,0.7,0.11,0.07,0.18,0.11,0.18
234,Nick Hagglund\Nick-Hagglund,us USA,DF,Toronto FC,25,1992,20,15,1432,3,0,0,0,1,0,0.19,0,0.19,0.19,0.19,0.8,0.8,0.2,0.05,0.01,0.06,0.05,0.06
235,Marlon Hairston\Marlon-Hairston,us USA,DFMF,Colorado,23,1994,15,13,1104,0,1,0,0,1,0,0,0.08,0.08,0,0.08,0.3,0.3,0.9,0.03,0.07,0.1,0.03,0.1
236,Bill Hamid\Bill-Hamid,us USA,GK,D.C. United,27,1990,14,14,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,Jordan Hamilton\Jordan-Hamilton,ca CAN,FWMF,Toronto FC,21,1996,14,10,862,2,1,0,0,1,0,0.21,0.1,0.31,0.21,0.31,3.9,3.9,1,0.41,0.1,0.51,0.41,0.51
238,Niko Hansen\Niko-Hansen,dk DEN,FW,Columbus,23,1994,22,11,1030,3,2,0,0,1,0,0.26,0.17,0.44,0.26,0.44,3.2,3.2,1.7,0.28,0.15,0.43,0.28,0.43
239,Ian Harkes\Ian-Harkes,us USA,MFFW,D.C. United,22,1995,8,4,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,Jordan Harvey\Jordan-Harvey,us USA,DF,Los Angeles FC,34,1984,29,23,2140,0,0,0,0,3,1,0,0,0,0,0,0.4,0.4,1.5,0.02,0.06,0.08,0.02,0.08
241,Nicolas Hasler\Nicolas-Hasler,li LIE,DFMF,Toronto FC,26,1991,14,11,943,0,3,0,0,0,0,0,0.29,0.29,0,0.29,1.3,1.3,1.2,0.12,0.11,0.24,0.12,0.24
242,Nicolas Hasler\Nicolas-Hasler,li LIE,DFMF,Chicago,26,1991,10,8,779,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.7,0.04,0.08,0.12,0.04,0.12
243,Guillermo Hauché\Guillermo-Hauche,ar ARG,FWDF,New England,24,1993,4,2,174,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03
244,Jacori Hayes\Jacori-Hayes,us USA,MF,FC Dallas,22,1995,16,10,999,1,1,0,0,2,0,0.09,0.09,0.18,0.09,0.18,0.7,0.7,0.9,0.06,0.08,0.15,0.06,0.15
245,Harrison Heath\Harrison-Heath,us USA,MF,Minnesota,21,1996,4,1,124,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03
246,Matt Hedges\Matt-Hedges,us USA,DF,FC Dallas,27,1990,33,33,2925,2,0,0,0,8,0,0.06,0,0.06,0.06,0.06,2.2,2.2,0.4,0.07,0.01,0.08,0.07,0.08
