Rk,Player,Nation,Pos,Squad,Age,Born,MP_playingtime,Starts_playingtime,Min_playingtime,Gls_performance,Ast_performance,PK_performance,PKatt_performance,CrdY_performance,CrdR_performance,Gls_per90min,Ast_per90min,G_plus_A_per90min,G_minus_PK_per90min,G_plus_A_minus_PK_per90min,xG_expected,npxG_expected,xA_expected,xG_per90min,xA_per90min,xG_plus_xA_per90min,npxG_per90min,npxG_plus_xA_per90min
439,Lawrence Olum\Lawrence-Olum,ke KEN,MF,Minnesota,34,1984,10,5,547,0,1,0,0,0,0,0,0.16,0.16,0,0.16,0.5,0.5,0.1,0.08,0.01,0.09,0.08,0.09
440,Zdeněk Ondrášek\Zdenek-Ondrasek,cz CZE,FW,FC Dallas,30,1988,18,8,751,7,2,0,0,2,0,0.84,0.24,1.08,0.84,1.08,4.5,4.5,1.2,0.54,0.14,0.69,0.54,0.69
441,Nedum Onuoha\Nedum-Onuoha,eng ENG,DF,Real Salt Lake,32,1986,27,26,2336,1,0,0,0,2,0,0.04,0,0.04,0.04,0.04,0.7,0.7,0.3,0.03,0.01,0.04,0.03,0.04
442,Ike Opara\Ike-Opara,us USA,DF,Minnesota,29,1989,30,29,2566,3,1,0,0,4,0,0.11,0.04,0.14,0.11,0.14,2.1,2.1,1,0.07,0.03,0.11,0.07,0.11
443,Kofi Opare\Kofi-Opare,ca CAN,DF,Colorado,28,1990,3,3,270,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.03,0,0.03,0.03,0.03
444,Jonathan Osorio\Jonathan-Osorio,ca CAN,MFFW,Toronto FC,26,1992,24,18,1757,5,3,0,1,2,0,0.26,0.15,0.41,0.26,0.41,4.3,3.5,1.9,0.22,0.1,0.31,0.18,0.27
445,David Ousted\David-Ousted,dk DEN,GK,Chicago,33,1985,14,14,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
446,Juan Pablo Torres\Juan-Pablo-Torres,us USA,FW,NYCFC,19,1999,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
447,Diego Palacios\Diego-Palacios,ec ECU,DF,Los Angeles FC,19,1999,2,1,92,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.17,0,0.17,0.17,0.17
448,Cristhian Paredes\Cristhian-Paredes,py PAR,MF,Portland,20,1998,22,19,1647,4,2,0,0,2,0,0.22,0.11,0.33,0.22,0.33,3.2,3.2,1.6,0.17,0.09,0.26,0.17,0.26
449,Tim Parker\Tim-Parker,us USA,DF,NY Red Bulls,25,1993,31,26,2388,0,0,0,0,5,1,0,0,0,0,0,1.3,1.3,0.2,0.05,0.01,0.06,0.05,0.06
450,Michael Parkhurst\Michael-Parkhurst,us USA,DF,Atlanta,35,1984,20,15,1444,0,0,0,0,3,0,0,0,0,0,0,0.2,0.2,0.5,0.02,0.03,0.05,0.02,0.05
451,Keaton Parks\Keaton-Parks,us USA,MF,NYCFC,21,1997,22,14,1322,1,1,0,0,3,0,0.07,0.07,0.14,0.07,0.14,2,2,1.7,0.14,0.12,0.26,0.14,0.26
452,Kevin Partida\Kevin-Partida,us USA,FW,San Jose,23,1995,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
453,Santiago Patiño\Santiago-Patino,us USA,FW,Orlando City,21,1997,11,3,328,2,1,0,0,1,0,0.55,0.27,0.82,0.55,0.82,2.2,2.2,1,0.59,0.29,0.88,0.59,0.88
