Rk,Player,Nation,Pos,Squad,Age,Born,MP_playingtime,Starts_playingtime,Min_playingtime,Gls_performance,Ast_performance,PK_performance,PKatt_performance,CrdY_performance,CrdR_performance,Gls_per90min,Ast_per90min,G_plus_A_per90min,G_minus_PK_per90min,G_plus_A_minus_PK_per90min
25,Jalil Anibaba\Jalil-Anibaba,us USA,DF,Sporting KC,26,1988,16,14,1265,1,3,0,0,1,0,0.07,0.21,0.28,0.07,0.28
26,Bernardo Añor\Bernardo-Anor,ve VEN,MF,Sporting KC,26,1988,13,4,488,0,0,0,0,2,0,0,0,0,0,0
27,Fernando Aristeguieta\Fernando-Aristeguieta,ve VEN,FW,Philadelphia,22,1992,21,14,1251,5,1,0,0,3,0,0.36,0.07,0.43,0.36,0.43
28,Davy Arnaud\Davy-Arnaud,us USA,FWMF,D.C. United,34,1980,23,21,1916,0,2,0,0,8,0,0,0.09,0.09,0,0.09
29,Jairo Arrieta\Jairo-Arrieta,cr CRC,FW,D.C. United,31,1983,27,15,1265,5,2,0,0,1,0,0.36,0.14,0.5,0.36,0.5
30,Corey Ashe\Corey-Ashe,us USA,DFMF,Orlando City,28,1986,9,8,663,0,2,0,0,0,0,0,0.27,0.27,0,0.27
31,Dairon Asprilla\Dairon-Asprilla,co COL,FWMF,Portland,22,1992,26,10,1017,1,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18
32,Jeff Attinella\Jeff-Attinella,us USA,GK,Real Salt Lake,26,1988,10,10,900,0,0,0,0,0,0,0,0,0,0,0
33,Eric Avila\Eric-Avila,us USA,DFMF,Orlando City,27,1987,21,15,1323,1,2,0,0,1,0,0.07,0.14,0.2,0.07,0.2
34,Eric Ayuk\Eric-Ayuk,cm CMR,MF,Philadelphia,17,1997,28,14,1323,2,2,0,0,3,1,0.14,0.14,0.27,0.14,0.27
35,Micheal Azira\Micheal-Azira,ug UGA,DFMF,Seattle,27,1987,11,8,727,0,0,0,0,2,0,0,0,0,0,0
36,Dominique Badji\Dominique-Badji,sn SEN,FWMF,Colorado,22,1992,15,9,812,2,0,0,0,1,0,0.22,0,0.22,0.22,0.22
37,Mehdi Ballouchy\Mehdi-Ballouchy,ma MAR,MF,NYCFC,31,1983,19,16,1249,3,2,0,0,5,0,0.22,0.14,0.36,0.22,0.36
38,Darrius Barnes\Darrius-Barnes,us USA,DF,New England,28,1986,5,4,392,0,0,0,0,0,0,0,0,0,0,0
39,Giles Barnes\Giles-Barnes,jm JAM,FWMF,Houston,26,1988,28,28,2470,7,3,0,1,5,0,0.26,0.11,0.36,0.26,0.36
40,Tranquillo Barnetta\Tranquillo-Barnetta,ch SUI,MF,Philadelphia,29,1985,11,9,763,1,2,0,0,2,0,0.12,0.24,0.35,0.12,0.35
41,Leandro Barrera\Leandro-Barrera,ar ARG,FW,San Jose,23,1991,6,1,143,0,0,0,0,0,0,0,0,0,0,0
42,Chad Barrett\Chad-Barrett,us USA,FW,Seattle,29,1985,18,9,715,5,0,0,0,1,0,0.63,0,0.63,0.63,0.63
